From_Port_Code,To_Port_Code
NZAKL,NCNOU
NCNOU,SBHIR
SBHIR,VUSAN
NZAKL,NCNOU
NCNOU,SBHIR
SBHIR,VUSAN
NZAKL,NCNOU
NCNOU,SBHIR
SBHIR,VUSAN
NZAKL,NCNOU
NCNOU,SBHIR
SBHIR,VUSAN
NZAKL,NCNOU
NCNOU,SBHIR
SBHIR,VUSAN
CASYD,AUMEL
AUMEL,AUBNE
AUBNE,FJLTK
FJLTK,FJSUV
FJSUV,TVFUN
TVFUN,WSAPW
WSAPW,ASPPG
CASYD,AUMEL
AUMEL,AUBNE
AUBNE,FJLTK
FJLTK,FJSUV
FJSUV,KITRW
KITRW,WSAPW
WSAPW,ASPPG
ASPPG,TVFUN
FJLTK,CASYD
CASYD,AUMEL
AUMEL,AUBNE
AUBNE,FJSUV
FJSUV,WSAPW
WSAPW,ASPPG
ASPPG,TVFUN
TVFUN,TOTBU
CASYD,AUMEL
AUMEL,AUBNE
AUBNE,FJLTK
FJLTK,FJSUV
FJSUV,TVFUN
TVFUN,WSAPW
WSAPW,ASPPG
ASPPG,KITRW
CASYD,AUMEL
AUMEL,AUBNE
AUBNE,FJLTK
FJLTK,FJSUV
JPYAT,JPUKB
JPHNN,JPTYO
JPYAT,JPUKB
JPHNN,JPTYO
JPYAT,JPUKB
JPTYO,JPHNN
JPYAT,JPUKB
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
CNTAO,KRPUS
KRPUS,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
CNTAO,CNSHA
CNSHA,KRPUS
THLCH,VNCLI
VNCLI,PHMNL
CNSHA,KRPUS
KRPUS,CNTAO
PHMNL,THLCH
THLCH,VNCLI
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
AEJE3,SADMM
SADMM,INMUN
INMUN,MYWSP
VNCIT,THLCH
THLCH,INNSA
INNSA,MYWSP
AEJE3,SADMM
SADMM,MYWSP
MYWSP,INMUN
THLCH,MYWSP
MYWSP,INNSA
INNSA,VNCIT
IDJK3,IDSUB
IDJK3,IDSUB
IDSUB,IDJK3
TZTAG,MYWSP
MYWSP,CNNSA
TZTAG,KEMBA
KEMBA,MYWSP
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,MYWSP
TZTAG,KEMBA
CNNSA,MYWSP
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
PHCSH,PHDCT
PHDCT,PHCGY
PHCSH,PHDCT
PHDCT,PHCGY
PHCSH,PHDCT
PHDCT,PHCGY
PKKHI,INGTI
INGTI,INANI
INANI,MYWSP
MYWSP,SGSIN
CNSHK,SGSIN
SGSIN,MYWSP
MYWSP,CNSHA
CNSHA,CNNBG
INGTI,PKKHI
PKKHI,MYWSP
MYWSP,SGSIN
SGSIN,INANI
CNSHA,CNNBG
CNNBG,CNSHK
CNSHK,SGSIN
SGSIN,MYWSP
CNSHA,CNNBG
CNNBG,CNSHK
JPFKY,JPMIZ
JPMIZ,JPHIJ
JPHIJ,JPHSM
JPIMI,JPFKY
JPFKY,JPMIZ
JPMIZ,JPHIJ
JPHIJ,JPHSM
JPHSM,JPOIT
JPFKY,JPMIZ
JPMIZ,JPHIJ
JPHIJ,JPSBS
JPHSM,JPSBS
JPSBS,JPFKY
JPFKY,JPMIZ
JPMIZ,JPHIJ
MYWSP,TZTAG
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,MYWSP
TZTAG,KEMBA
KEMBA,MYWSP
CNNSA,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,MYWSP
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
SGSIN,MYWSP
SGSIN,LKCMB
SGSIN,THPAT
THPAT,SGSIN
THPAT,SGSIN
SGSIN,THPAT
THPAT,SGSIN
SGSIN,THPAT
PHDCT,PHCGY
PHCGY,PHCSH
PHCGY,PHCSH
PHCSH,PHDCT
CNNBG,CNSHA
THPAT,THLCH
THLCH,PHMNL
CNSHA,CNNBG
PHMNL,THPAT
THPAT,THLCH
THLCH,PHMNL
CNSHA,CNNBG
THPAT,THLCH
THLCH,PHMNL
PHMNL,PHMNS
CNNBG,CNSHA
PHMNL,PHMNS
CNSHA,CNNBG
PHMNL,PHMNS
CNSHA,CNNBG
PHMNS,PHMNL
CNSHA,CNNBG
CNTXG,SGSIN
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
CNNBG,CNSHA
CNSHA,THLCH
VNCLI,THPAT
THPAT,THSSW
THSSW,THLCH
